editor,platform,project,relative_file,language,event_time
VSCode,Linux 5.10,01-Associations [WSL: Ubuntu],app/models/post.rb,ruby,1702058820000
VSCode,Linux 5.10,01-Associations [WSL: Ubuntu],app/models/post.rb,ruby,1702058880000
VSCode,Linux 5.10,01-Associations [WSL: Ubuntu],app/models/post.rb,ruby,1702058940000
VSCode,Linux 5.10,05-Seed-API [WSL: Ubuntu],app/models/post.rb,ruby,1702059060000
VSCode,Linux 5.10,05-Seed-API [WSL: Ubuntu],db/seeds.rb,ruby,1702059120000
VSCode,Linux 5.10,05-Seed-API [WSL: Ubuntu],db/seeds.rb,ruby,1702059180000
VSCode,Linux 5.10,05-Seed-API [WSL: Ubuntu],db/seeds.rb,ruby,1702059300000
VSCode,Linux 5.10,01-Create-a-DB [WSL: Ubuntu],db/.gitkeep,plaintext,1702059360000
VSCode,Linux 5.10,02-Migrations [WSL: Ubuntu],db/migrate/20141025152200_create_posts.rb,ruby,1702059720000
VSCode,Linux 5.10,02-Migrations [WSL: Ubuntu],db/migrate/20141025152200_create_posts.rb,ruby,1702059780000
VSCode,Linux 5.10,02-Migrations [WSL: Ubuntu],db/migrate/20141025152200_create_posts.rb,ruby,1702059840000
VSCode,Linux 5.10,02-Migrations [WSL: Ubuntu],db/migrate/20141025152200_create_posts.rb,ruby,1702059900000
VSCode,Linux 5.10,02-Migrations [WSL: Ubuntu],db/migrate/20141025152200_create_posts.rb,ruby,1702059960000
VSCode,Linux 5.10,02-Migrations [WSL: Ubuntu],db/migrate/20141025152200_create_posts.rb,ruby,1702060020000
VSCode,Linux 5.10,02-Migrations [WSL: Ubuntu],db/migrate/20141025152200_create_posts.rb,ruby,1702060080000
VSCode,Linux 5.10,02-Migrations [WSL: Ubuntu],db/migrate/20141025152200_create_posts.rb,ruby,1702060140000
VSCode,Linux 5.10,02-Migrations [WSL: Ubuntu],db/migrate/20141025152200_create_posts.rb,ruby,1702060200000
VSCode,Linux 5.10,02-Migrations [WSL: Ubuntu],db/migrate/20141025152200_create_posts.rb,ruby,1702060260000
VSCode,Linux 5.10,02-Migrations [WSL: Ubuntu],db/migrate/20141025152200_create_posts.rb,ruby,1702060320000
VSCode,Linux 5.10,02-Migrations [WSL: Ubuntu],db/migrate/20141025152200_create_posts.rb,ruby,1702060380000
VSCode,Linux 5.10,02-Migrations [WSL: Ubuntu],db/migrate/20141025152200_create_posts.rb,ruby,1702060440000
VSCode,Linux 5.10,02-Migrations [WSL: Ubuntu],db/migrate/20141025152200_create_posts.rb,ruby,1702060500000
VSCode,Linux 5.10,02-Migrations [WSL: Ubuntu],db/migrate/20141025152200_create_posts.rb,ruby,1702060560000
